Time,Open,High,Low,Close,Volume
2019.02.20 08:00:00,1.13371,1.13396,1.13324,1.13333,1019
2019.02.20 07:00:00,1.13434,1.13454,1.13371,1.13371,739
2019.02.20 06:00:00,1.13447,1.13457,1.13416,1.13434,906
2019.02.20 05:00:00,1.13499,1.13504,1.13423,1.13446,917
2019.02.20 04:00:00,1.13539,1.13551,1.13497,1.135,1075
2019.02.20 03:00:00,1.13496,1.13557,1.13474,1.13539,1377
2019.02.20 02:00:00,1.13395,1.13528,1.13393,1.13496,1710
2019.02.20 01:00:00,1.13385,1.13406,1.13378,1.13395,872
2019.02.20 00:00:00,1.13399,1.13435,1.13349,1.13385,1048
2019.02.19 23:00:00,1.13423,1.13423,1.13392,1.13394,699
2019.02.19 22:00:00,1.134,1.13441,1.13388,1.13423,2021
2019.02.19 21:00:00,1.13486,1.13502,1.13353,1.134,2694
2019.02.19 20:00:00,1.13477,1.1354,1.13447,1.13486,2842
2019.02.19 19:00:00,1.13277,1.13571,1.13202,1.13477,5452
2019.02.19 18:00:00,1.13334,1.13422,1.13275,1.13277,5330
2019.02.19 17:00:00,1.13193,1.13394,1.13158,1.13334,6274
2019.02.19 16:00:00,1.12956,1.13222,1.12954,1.13192,5478
2019.02.19 15:00:00,1.12869,1.13005,1.12858,1.12955,3942
2019.02.19 14:00:00,1.12825,1.12884,1.12761,1.1287,3235
2019.02.19 13:00:00,1.13066,1.13099,1.1275,1.12827,4961
2019.02.19 12:00:00,1.13026,1.13138,1.12989,1.13066,2536
2019.02.19 11:00:00,1.13213,1.13242,1.13001,1.13026,4025
2019.02.19 10:00:00,1.12989,1.13238,1.1294,1.13213,3671
2019.02.19 09:00:00,1.12955,1.13049,1.12949,1.12989,2565
2019.02.19 08:00:00,1.12992,1.12993,1.12931,1.12955,1027
2019.02.19 07:00:00,1.12963,1.12995,1.12941,1.12991,833
2019.02.19 06:00:00,1.1295,1.12979,1.12926,1.12963,888
2019.02.19 05:00:00,1.13008,1.13028,1.12935,1.1295,868
2019.02.19 04:00:00,1.13038,1.13047,1.12975,1.13008,925
